resp_id,urban_rural,region,ethnicity,vote
GHA1000,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1006,Urban,Central,Akan,National Democratic Congress (NDC)
GHA1007,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1012,Urban,Western,Akan,National Democratic Congress (NDC)
GHA1013,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA1019,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA1021,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1031,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1038,Rural,Western,Akan,New Patriotic Party (NPP)
GHA1041,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA1042,Rural,Eastern,Akan,National Democratic Congress (NDC)
GHA1046,Rural,Western North,Akan,National Democratic Congress (NDC)
GHA1048,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA1055,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1056,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1057,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1058,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1060,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1063,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1070,Rural,Eastern,Akan,National Democratic Congress (NDC)
GHA1073,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1074,Rural,Central,Akan,National Democratic Congress (NDC)
GHA1076,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA1083,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA1084,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA1085,Rural,Central,Akan,National Democratic Congress (NDC)
GHA1086,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA1087,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1088,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1092,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1095,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1096,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA1099,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1105,Rural,Ashanti,Ewe_Ga,National Democratic Congress (NDC)
