id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
279,1983,0.6826186180114746,0.719839870929718,0.6213308572769165,"Beginning in July, everyone who pays federal income taxes is scheduled to get a 10% cut in their federal tax rate. This means that those in higher income brackets of $50,000 and above get a much bigger tax cut than everybody else. A person making $100,000, for example, would get a tax cut this July of about $1,500. Democrats in Congress propose that no one get a tax cut above $700, because they feel it is unfair to have the rich benefit so much more than everybody else. Do you favor or oppose putting a $700 limit on the tax cut anyone can get on July 1st?",0
280,1983,0.2757148742675781,0.2372045516967773,0.2359780669212341,Do you favor or oppose (READ EACH ITEM)? Item: The federal government giving tax exemptions to schools that segregate whites and blacks,0
282,1983,0.3673032522201538,0.355860948562622,0.4415954351425171,Do you favor or oppose (READ EACH ITEM)? Item: A federal law to prohibit the Justice Department and the federal courts from ordering school busing to achieve racial balance,0
295,1983,0.706157386302948,0.6296766996383667,0.6172523498535156,"Do you favor or oppose the federal government making January 15th, Martin Luther King, Jr.’s, birthday, a national holiday?",1
305,1983,0.3883213400840759,0.2821674942970276,0.3355404138565063,Now let me ask you about some solutions to the high cost of health care that have been suggested. Do you favor or oppose (READ EACH ITEM)? Item: Requiring employees who have expensive insurance coverage paid by their employers to pay tax on part of the insurance premium as if it were income,0
308,1983,0.1915071010589599,0.0922340750694274,0.0782836079597473,"Now I’m going to ask you about some specific changes that are being considered in the Clean Air and Clean Water Acts. For each, tell me whether you favor or oppose the change. READ EACH ITEM Item: Relax federal standards on disposal of hazardous wastes",0
309,1983,0.174772024154663,0.1197125315666198,0.1963810324668884,"Now I’m going to ask you about some specific changes that are being considered in the Clean Air and Clean Water Acts. For each, tell me whether you favor or oppose the change. READ EACH ITEM Item: Relax pollution standards to allow power plants to burn higher sulfur content oil and coal",0
310,1983,0.3546525239944458,0.2080458998680114,0.2413973808288574,"Now I’m going to ask you about some specific changes that are being considered in the Clean Air and Clean Water Acts. For each, tell me whether you favor or oppose the change. READ EACH ITEM Item: Relax regulations that protect national park and wilderness areas from air pollution",1
311,1983,0.1742330193519592,0.07978355884552,0.0872997045516967,"Now I’m going to ask you about some specific changes that are being considered in the Clean Air and Clean Water Acts. For each, tell me whether you favor or oppose the change. READ EACH ITEM Item: Relax federal standards on pollution of lakes and rivers by toxic substances from factories",0
312,1983,0.2626398205757141,0.1957379579544067,0.207980990409851,"Now I’m going to ask you about some specific changes that are being considered in the Clean Air and Clean Water Acts. For each, tell me whether you favor or oppose the change. READ EACH ITEM Item: Relax current auto pollution standards",0
313,1983,0.456344187259674,0.5553984642028809,0.5269317626953125,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting new federal taxes on all refined petroleum products.",0
314,1983,0.2245092988014221,0.2123788595199585,0.2533182501792907,"In order to reduce the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Substantial increases in federal taxes on individuals.",0
315,1983,0.3558069467544555,0.2948735952377319,0.2837805151939392,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Taxing employee health insurance premiums that are paid by employers and that exceed a certain amount.",0
316,1983,0.4252752661705017,0.4975386261940002,0.3415217399597168,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Eliminating deductions of state and local taxes from federal taxable income.",0
318,1983,0.1246313452720642,0.1653749942779541,0.2079349756240844,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting a new 2% federal excise tax on energy, including electricity, gas, and heating oil.",0
319,1983,0.3599786758422851,0.4765541553497314,0.504062294960022,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Passing a national sales tax of 2% on all purchases, excluding purchases of food and drugs.",0
320,1983,0.1295600533485412,0.142017126083374,0.2844362258911133,"In order to reduce the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Cutting federal spending on entitlement programs, such as Social Security, Medicare, Medicaid, and federal employee retirement benefits.",0
